Participant,Trial,State,Deviant,I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6
1,1,CS,No_Deviant,7,4,8,1,5,3,7,4,8,5,3,0
1,2,CS,No_Deviant,3,1,7,4,2,5,3,1,7,5,2,8
1,3,CS,No_Deviant,5,7,1,8,3,6,5,7,1,4,8,2
1,4,CS,No_Deviant,6,2,5,1,4,7,6,2,5,1,0,7
1,6,CS,No_Deviant,8,2,5,7,4,6,8,2,5,7,1,6
1,7,CS,No_Deviant,5,1,7,4,2,8,5,1,7,4,0,2
1,9,CS,No_Deviant,7,4,2,6,1,5,7,4,2,6,1,5
1,10,CS,No_Deviant,2,7,5,1,4,8,2,7,5,1,4,6
1,11,CS,No_Deviant,6,4,7,2,8,3,6,4,7,2,3,0
1,12,CS,No_Deviant,5,7,2,8,1,4,5,7,8,1,4,2
1,13,CS,No_Deviant,8,3,6,2,5,7,8,6,4,2,5,7
1,14,CS,No_Deviant,3,1,7,4,6,8,3,7,1,4,0,8
1,15,CS,No_Deviant,5,7,3,6,2,4,5,7,3,4,6,2
1,16,CS,No_Deviant,8,1,6,3,5,2,8,1,6,3,2,5
1,17,CS,No_Deviant,4,2,8,6,3,7,4,2,8,6,7,1
1,19,CS,No_Deviant,4,2,8,6,3,5,4,2,8,6,5,3
1,20,CS,No_Deviant,2,6,4,8,1,7,2,6,4,8,1,7
1,21,CS,No_Deviant,5,2,7,3,8,4,5,7,2,3,8,1
1,22,CS,No_Deviant,4,6,2,8,5,3,4,6,2,8,5,3
1,23,CS,No_Deviant,3,1,8,5,2,6,3,1,8,5,2,6
1,24,CS,No_Deviant,2,4,7,1,8,5,2,4,7,1,8,5
1,25,CS,No_Deviant,8,1,5,2,6,3,8,1,5,2,6,3
1,26,CS,No_Deviant,4,6,3,7,2,8,4,6,3,8,5,2
1,28,CS,No_Deviant,7,3,1,6,2,5,7,6,3,1,8,2
1,29,CS,No_Deviant,4,8,6,3,7,2,4,8,5,7,2,1
1,30,CS,No_Deviant,3,1,7,5,2,6,3,1,7,5,2,6
1,31,CS,No_Deviant,6,2,8,1,4,7,6,2,8,0,0,4
1,32,CS,No_Deviant,4,6,3,7,1,5,4,6,3,7,0,5
