Participant,Concurrent_Articulation,State,Deviant,pCorrect
1,No_Concurrent_Articulation,SS,No_Deviant,0.500
1,No_Concurrent_Articulation,SS,With_Deviant,0.500
1,No_Concurrent_Articulation,CS,No_Deviant,0.833
1,No_Concurrent_Articulation,CS,With_Deviant,0.333
1,With_Concurrent_Articulation,SS,No_Deviant,0.833
1,With_Concurrent_Articulation,SS,With_Deviant,0.833
1,With_Concurrent_Articulation,CS,No_Deviant,0.667
1,With_Concurrent_Articulation,CS,With_Deviant,0.667
2,No_Concurrent_Articulation,SS,No_Deviant,0.667
2,No_Concurrent_Articulation,SS,With_Deviant,0.500
2,No_Concurrent_Articulation,CS,No_Deviant,0.667
2,No_Concurrent_Articulation,CS,With_Deviant,0.333
2,With_Concurrent_Articulation,SS,No_Deviant,0.667
2,With_Concurrent_Articulation,SS,With_Deviant,0.667
2,With_Concurrent_Articulation,CS,No_Deviant,0.833
2,With_Concurrent_Articulation,CS,With_Deviant,0.833
3,No_Concurrent_Articulation,SS,No_Deviant,1.000
3,No_Concurrent_Articulation,SS,With_Deviant,0.833
3,No_Concurrent_Articulation,CS,No_Deviant,1.000
3,No_Concurrent_Articulation,CS,With_Deviant,0.667
3,With_Concurrent_Articulation,SS,No_Deviant,1.000
3,With_Concurrent_Articulation,SS,With_Deviant,1.000
3,With_Concurrent_Articulation,CS,No_Deviant,0.833
3,With_Concurrent_Articulation,CS,With_Deviant,1.000
4,No_Concurrent_Articulation,SS,No_Deviant,0.500
4,No_Concurrent_Articulation,SS,With_Deviant,0.333
4,No_Concurrent_Articulation,CS,No_Deviant,0.333
4,No_Concurrent_Articulation,CS,With_Deviant,0.333
4,With_Concurrent_Articulation,SS,No_Deviant,0.500
4,With_Concurrent_Articulation,SS,With_Deviant,0.500
4,With_Concurrent_Articulation,CS,No_Deviant,0.333
4,With_Concurrent_Articulation,CS,With_Deviant,0.667
5,No_Concurrent_Articulation,SS,No_Deviant,0.333
5,No_Concurrent_Articulation,SS,With_Deviant,0.333
5,No_Concurrent_Articulation,CS,No_Deviant,0.167
5,No_Concurrent_Articulation,CS,With_Deviant,0.167
